ingredient_name,drug_concept_id,drug_concept_name,concept_class_id,vocabulary_id,dose_form
nifedipine,41248595,Nifedipine 20 MG Extended Release Oral Capsule [Corotrend] Box of 100,Branded Drug Box,RxNorm Extension,Extended Release Oral Capsule
nifedipine,37593317,Nifedipine 20 MG Extended Release Oral Capsule [Aprical] by Shire,Marketed Product,RxNorm Extension,Extended Release Oral Capsule
nifedipine,41240862,Nifedipine 10 MG Extended Release Oral Tablet Box of 30,Clinical Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41186204,Nifedipine 10 MG Extended Release Oral Tablet [Pidilat] Box of 100,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41134383,Nifedipine 20 MG Extended Release Oral Tablet [Adalat] Box of 30 by Bayer,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41071545,Nifedipine 10 MG Extended Release Oral Tablet [Corinfar] Box of 100 by TEVA,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41029746,Nifedipine 20 MG Extended Release Oral Tablet [Nifedipin Al] Box of 50,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,40946806,Nifedipine 10 MG Extended Release Oral Tablet [Corinfar] Box of 30 by TEVA,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,40915460,Nifedipine 10 MG Oral Capsule [Adalat] Box of 30 by Kohlpharma,Marketed Product,RxNorm Extension,Oral Capsule
nifedipine,36419774,Nifedipine 50 MG Extended Release Oral Tablet Box of 100,Clinical Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,36947225,nifedipine 10 MG Oral Capsule Box of 84 by Pharma Strides,Marketed Product,RxNorm Extension,Oral Capsule
nifedipine,41217577,Nifedipine 20 MG Extended Release Oral Tablet [Nife-Ct] Box of 50,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
labetalol,21095497,Labetalol 2 MG/ML Oral Suspension,Clinical Drug,RxNorm Extension,Oral Suspension
nifedipine,40725319,Nifedipine 30 MG Extended Release Oral Tablet [Adalat LA] Box of 28 by Sigma,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41009143,Nifedipine 40 MG Extended Release Oral Tablet [Cordicant] Box of 100 by Mundipharma,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41321279,Nifedipine 5 MG Oral Capsule Box of 100 by Ratiopharm,Marketed Product,RxNorm Extension,Oral Capsule
nifedipine,21103919,Nifedipine 30 MG Extended Release Oral Tablet Box of 28 by Sigma-Tau,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,40946810,Nifedipine 10 MG Oral Capsule [Nifedipin Al] Box of 30 by Aliud,Marketed Product,RxNorm Extension,Oral Capsule
nifedipine,21143125,Nifedipine 20 MG Extended Release Oral Tablet [Adalat] Box of 60 by Sigma-Tau,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
labetalol,21085738,Labetalol 100 MG Oral Tablet by Mylan,Marketed Product,RxNorm Extension,Oral Tablet
nifedipine,41134359,Nifedipine 5 MG Oral Capsule [Nifedipin Stada] Box of 20 by Stada,Marketed Product,RxNorm Extension,Oral Capsule
nifedipine,41258867,Nifedipine 10 MG Oral Capsule [Adalat] Box of 50 by Kohlpharma,Marketed Product,RxNorm Extension,Oral Capsule
nifedipine,41258863,Nifedipine 10 MG Oral Capsule [Nifedipin Basics] Box of 100 by Basics,Marketed Product,RxNorm Extension,Oral Capsule
nifedipine,35887769,nifedipine 10 MG Oral Capsule Box of 84 by Medihealth,Marketed Product,RxNorm Extension,Oral Capsule
nifedipine,41388114,30 ML Nifedipine 10 MG/ML Oral Solution,Quant Clinical Drug,RxNorm Extension,Oral Solution
nifedipine,41029707,Nifedipine 40 MG Oral Tablet [Nifedipin Sandoz] Box of 50,Branded Drug Box,RxNorm Extension,Oral Tablet
nifedipine,41389053,30 ML Nifedipine 20 MG/ML Oral Solution [Pidilat] Box of 1,Quant Branded Box,RxNorm Extension,Oral Solution
nifedipine,40936243,Nifedipine 20 MG Oral Tablet [Nife Abz] Box of 50,Branded Drug Box,RxNorm Extension,Oral Tablet
nifedipine,43665357,30 ML Nifedipine 20 MG/ML Oral Solution [Nifedipin-ratiopharm] by Ratiopharm,Marketed Product,RxNorm Extension,Oral Solution
labetalol,21124774,Labetalol 100 MG Oral Tablet Box of 56 by Sigma-Tau,Marketed Product,RxNorm Extension,Oral Tablet
nifedipine,40853293,Nifedipine 30 MG Oral Tablet [Nife-Ct] Box of 100 by AbZ-Pharma,Marketed Product,RxNorm Extension,Oral Tablet
nifedipine,40831764,Nifedipine Oral Tablet [Cordicant],Branded Drug Form,RxNorm Extension,Oral Tablet
labetalol,43256171,Labetalol 200 MG Oral Tablet Box of 100,Clinical Drug Box,RxNorm Extension,Oral Tablet
nifedipine,41123662,Nifedipine 10 MG Oral Tablet [Nifedipin Basics] Box of 30,Branded Drug Box,RxNorm Extension,Oral Tablet
nifedipine,41123652,Nifedipine 40 MG Oral Tablet [Duranifin] Box of 50,Branded Drug Box,RxNorm Extension,Oral Tablet
nifedipine,35868163,nifedipine 10 MG Oral Tablet [Degaoning],Branded Drug,RxNorm Extension,Oral Tablet
nifedipine,41258893,Nifedipine 20 MG Oral Tablet [Nife Basf] Box of 30 by Novartis,Marketed Product,RxNorm Extension,Oral Tablet
nifedipine,41029740,Nifedipine 30 MG Oral Tablet [Adalat] Box of 28,Branded Drug Box,RxNorm Extension,Oral Tablet
nifedipine,41092498,Nifedipine 20 MG Oral Tablet [Nifedipin Al] Box of 50,Branded Drug Box,RxNorm Extension,Oral Tablet
nifedipine,40977803,Nifedipine 10 MG Oral Tablet [Nifehexal] Box of 30 by Novartis,Marketed Product,RxNorm Extension,Oral Tablet
nifedipine,41279364,Nifedipine 50 MG Oral Tablet [Corinfar] Box of 50,Branded Drug Box,RxNorm Extension,Oral Tablet
nifedipine,40823567,Nifedipine Oral Tablet [Nifelat],Branded Drug Form,RxNorm Extension,Oral Tablet
labetalol,35750868,Labetalol 200 MG Delayed Release Oral Tablet Box of 56 by Actavis,Marketed Product,RxNorm Extension,Delayed Release Oral Tablet
labetalol,36783893,Labetalol 100 MG Delayed Release Oral Tablet [Trandate] Box of 75,Branded Drug Box,RxNorm Extension,Delayed Release Oral Tablet
nifedipine,21103908,Nifedipine 20 MG Extended Release Oral Tablet [Coroday MR] Box of 56 by Mylan,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,21035085,Nifedipine 20 MG Extended Release Oral Tablet Box of 56 by A A H,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41279354,Nifedipine 5 MG Oral Capsule [Nifedipat] Box of 100,Branded Drug Box,RxNorm Extension,Oral Capsule
nifedipine,41310672,Nifedipine 20 MG Extended Release Oral Tablet [Pidilat] Box of 20,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41186249,Nifedipine 20 MG Extended Release Oral Tablet [Nifedipin Pb] Box of 30,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41178442,Nifedipine 10 MG Extended Release Oral Tablet Box of 20,Clinical Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,36271425,Nifedipine 30 MG Extended Release Oral Capsule [NIFEDIPINE EG] Box of 28 by Eurogenerics,Marketed Product,RxNorm Extension,Extended Release Oral Capsule
nifedipine,41387642,30 ML Nifedipine 20 MG/ML Oral Solution [Aprical] Box of 10,Quant Branded Box,RxNorm Extension,Oral Solution
nifedipine,40874026,Nifedipine 20 MG Extended Release Oral Capsule [Nifedipin Al] Box of 30,Branded Drug Box,RxNorm Extension,Extended Release Oral Capsule
nifedipine,41123695,Nifedipine 20 MG Extended Release Oral Capsule [Nife Puren] Box of 20,Branded Drug Box,RxNorm Extension,Extended Release Oral Capsule
nifedipine,40946804,Nifedipine 10 MG Extended Release Oral Tablet [Nifedipin Pb] Box of 30 by Docpharm,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,40925185,Nifedipine Extended Release Oral Capsule [Jutadilat],Branded Drug Form,RxNorm Extension,Extended Release Oral Capsule
nifedipine,35787572,100 ML Nifedipine 2 MG/ML Oral Suspension by Drug Tariff Special Order,Marketed Product,RxNorm Extension,Oral Suspension
nifedipine,41186218,Nifedipine 10 MG Oral Capsule [Nifehexal] Box of 50,Branded Drug Box,RxNorm Extension,Oral Capsule
nifedipine,41092471,Nifedipine 10 MG Oral Capsule [Cordicant] Box of 400,Branded Drug Box,RxNorm Extension,Oral Capsule
nifedipine,41021842,Nifedipine 40 MG Extended Release Oral Tablet Box of 100,Clinical Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,40946835,Nifedipine 20 MG Extended Release Oral Tablet [Nifedipin Basics] Box of 100 by Basics,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,40874018,Nifedipine 0.667 MG/ML Oral Solution [Pidilat] Box of 5,Branded Drug Box,RxNorm Extension,Oral Solution
nifedipine,41310689,Nifedipine 20 MG Extended Release Oral Tablet [Corinfar] Box of 100,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,40967382,Nifedipine 20 MG Extended Release Oral Tablet [Mtw Nifedipin],Branded Drug,RxNorm Extension,Extended Release Oral Tablet
nifedipine,40998722,Nifedipine 20 MG Extended Release Oral Tablet [Pidilat] Box of 500,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,40998677,Nifedipine 40 MG Extended Release Oral Tablet [Cisday] Box of 20,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41228093,Nifedipine 20 MG Extended Release Oral Tablet [Nife Basf] Box of 100 by Novartis,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41155125,Nifedipine 10 MG Extended Release Oral Tablet [Nifehexal] Box of 100,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41102935,Nifedipine 40 MG Extended Release Oral Tablet [Cisday] Box of 100 by Novartis,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
labetalol,21154520,Labetalol 400 MG Oral Tablet Box of 56 by Mylan,Marketed Product,RxNorm Extension,Oral Tablet
nifedipine,41310632,Nifedipine 60 MG Extended Release Oral Tablet [Adalat] Box of 100,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,40853317,Nifedipine 20 MG Extended Release Oral Tablet Box of 50 by Acis,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41248578,Nifedipine 5 MG Oral Capsule [Nifehexal] Box of 20,Branded Drug Box,RxNorm Extension,Oral Capsule
nifedipine,41134349,Nifedipine 10 MG Oral Capsule [Nifedipin Al] Box of 100 by Aliud,Marketed Product,RxNorm Extension,Oral Capsule
nifedipine,21162894,Nifedipine 60 MG Extended Release Oral Tablet [Valni] Box of 28,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,21035086,Nifedipine 20 MG Extended Release Oral Tablet [Nifopress Retard] Box of 112 by AMCo,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41009171,Nifedipine 20 MG Extended Release Oral Tablet [Nifedipin Stada] Box of 50 by Stada,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41009189,Nifedipine 20 MG Oral Capsule Box of 30 by Ratiopharm,Marketed Product,RxNorm Extension,Oral Capsule
nifedipine,40853278,Nifedipine 10 MG Oral Capsule [Nifedipin Verla] Box of 20 by Verla,Marketed Product,RxNorm Extension,Oral Capsule
nifedipine,40998714,Nifedipine 5 MG Oral Capsule [Duranifin] Box of 500,Branded Drug Box,RxNorm Extension,Oral Capsule
nifedipine,40967364,Nifedipine 5 MG Oral Capsule [Nife-Ct] Box of 100,Branded Drug Box,RxNorm Extension,Oral Capsule
nifedipine,40998736,Nifedipine 20 MG Oral Capsule [Pidilat] Box of 100,Branded Drug Box,RxNorm Extension,Oral Capsule
nifedipine,40823781,Nifedipine 10 MG Oral Capsule [Nifehexal] Box of 20 by Novartis,Marketed Product,RxNorm Extension,Oral Capsule
nifedipine,41279328,Nifedipine 40 MG Oral Tablet [Corinfar] Box of 100,Branded Drug Box,RxNorm Extension,Oral Tablet
labetalol,41303351,Labetalol 200 MG Oral Tablet Box of 1000,Clinical Drug Box,RxNorm Extension,Oral Tablet
nifedipine,41248610,Nifedipine 20 MG Oral Tablet [Duranifin],Branded Drug,RxNorm Extension,Oral Tablet
nifedipine,40977831,Nifedipine 20 MG Oral Capsule [Adalat] Box of 100 by Bayer,Marketed Product,RxNorm Extension,Oral Capsule
nifedipine,41289998,Nifedipine 20 MG Oral Tablet [Nifedipin Verla] Box of 50 by Verla,Marketed Product,RxNorm Extension,Oral Tablet
nifedipine,41165614,Nifedipine 10 MG Oral Tablet [Adalat] Box of 30 by Bayer,Marketed Product,RxNorm Extension,Oral Tablet
labetalol,36952936,labetalol 400 MG Oral Tablet Box of 56 by Medihealth,Marketed Product,RxNorm Extension,Oral Tablet
nifedipine,43206511,Nifedipine 20 MG Oral Tablet [Adalate] Box of 180,Branded Drug Box,RxNorm Extension,Oral Tablet
labetalol,21105355,Labetalol 400 MG Oral Tablet Box of 56 by Actavis,Marketed Product,RxNorm Extension,Oral Tablet
labetalol,21085736,Labetalol 400 MG Oral Tablet Box of 56 by Phoenix Labs,Marketed Product,RxNorm Extension,Oral Tablet
nifedipine,41248611,Nifedipine 20 MG Oral Tablet [Dignokonstant] Box of 50,Branded Drug Box,RxNorm Extension,Oral Tablet
nifedipine,40967329,Nifedipine 40 MG Oral Tablet [Cisday] Box of 100,Branded Drug Box,RxNorm Extension,Oral Tablet
nifedipine,41071540,Nifedipine 60 MG Oral Tablet Box of 30 by Ratiopharm,Marketed Product,RxNorm Extension,Oral Tablet
nifedipine,40928326,Nifedipine 20 MG Oral Tablet Box of 42,Clinical Drug Box,RxNorm Extension,Oral Tablet
nifedipine,40842828,Nifedipine 20 MG Oral Tablet [Corotrend] Box of 50,Branded Drug Box,RxNorm Extension,Oral Tablet
nifedipine,40946840,Nifedipine 20 MG Oral Tablet [Corotrend] Box of 100 by Novartis,Marketed Product,RxNorm Extension,Oral Tablet
labetalol,41187864,Labetalol 200 MG Oral Tablet [Trandate] Box of 25,Branded Drug Box,RxNorm Extension,Oral Tablet
nifedipine,41123689,Nifedipine 30 MG Oral Tablet [Adalat],Branded Drug,RxNorm Extension,Oral Tablet
nifedipine,41196989,Nifedipine 40 MG Oral Tablet [Cisday] Box of 100 by Novartis,Marketed Product,RxNorm Extension,Oral Tablet
nifedipine,41155177,Nifedipine 20 MG Oral Tablet [Mtw Nifedipin],Branded Drug,RxNorm Extension,Oral Tablet
nifedipine,35751471,Nifedipine 30 MG Delayed Release Oral Tablet Box of 28 by Mawdsley-Brooks,Marketed Product,RxNorm Extension,Delayed Release Oral Tablet
nifedipine,35768198,Nifedipine 30 MG Delayed Release Oral Tablet [Adalat LA] Box of 28 by Mawdsley-Brooks,Marketed Product,RxNorm Extension,Delayed Release Oral Tablet
nifedipine,21054780,Nifedipine 60 MG Extended Release Oral Tablet [Adalat LA] by Dowelhurst,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,21054770,Nifedipine 10 MG Extended Release Oral Tablet by Ennogen,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,21084236,Nifedipine 30 MG Extended Release Oral Tablet [Neozipine XL] Box of 28 by Kent,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,35130935,Nifedipine Oral Granules [Sepamit],Branded Drug Form,RxNorm Extension,Oral Granules
nifedipine,41209875,Nifedipine 30 MG Extended Release Oral Tablet Box of 100,Clinical Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,21123300,Nifedipine Extended Release Oral Tablet [Valni],Branded Drug Form,RxNorm Extension,Extended Release Oral Tablet
nifedipine,43747150,Nifedipine 20 MG Extended Release Oral Tablet [Nife-Ct] by AbZ-Pharma,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,40998721,Nifedipine 20 MG Extended Release Oral Capsule [Corotrend] Box of 50,Branded Drug Box,RxNorm Extension,Extended Release Oral Capsule
nifedipine,36272916,Nifedipine 60 MG Extended Release Oral Capsule [NIFEDIPINE EG] Box of 56,Branded Drug Box,RxNorm Extension,Extended Release Oral Capsule
nifedipine,41258855,Nifedipine 10 MG Extended Release Oral Tablet [Nifedipin Verla] Box of 30 by Verla,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,21087313,1 ML Nifedipine 20 MG/ML Oral Solution,Quant Clinical Drug,RxNorm Extension,Oral Solution
nifedipine,40853297,Nifedipine 20 MG Extended Release Oral Capsule [Aprical] Box of 100 by Amdipharm,Marketed Product,RxNorm Extension,Extended Release Oral Capsule
nifedipine,40725322,Nifedipine 30 MG Extended Release Oral Tablet Box of 28 by Sigma,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,21054756,Nifedipine Oral Solution [Nifedipin-ratiopharm],Branded Drug Form,RxNorm Extension,Oral Solution
nifedipine,35831264,nifedipine 20 MG Extended Release Oral Tablet by Sawai,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,36783386,Nifedipine 60 MG Extended Release Oral Tablet [NIFEDIPINE EG] Box of 98 by Eurogenerics,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41123672,Nifedipine 10 MG Oral Capsule [Corotrend],Branded Drug,RxNorm Extension,Oral Capsule
nifedipine,21152998,Nifedipine 20 MG Extended Release Oral Tablet [Nifopress MR] Box of 56 by TEVA,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,21035114,Nifedipine 60 MG Extended Release Oral Tablet [Adalat LA] Box of 28 by DE,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41217521,Nifedipine 10 MG Extended Release Oral Tablet [Duranifin],Branded Drug,RxNorm Extension,Extended Release Oral Tablet
nifedipine,40977820,Nifedipine 20 MG Extended Release Oral Tablet [Nife-Ct] Box of 30 by AbZ-Pharma,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,40915454,Nifedipine 10 MG Extended Release Oral Tablet [Corotrend] Box of 100 by Novartis,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,40831765,Nifedipine Extended Release Oral Tablet [Cisday],Branded Drug Form,RxNorm Extension,Extended Release Oral Tablet
nifedipine,40725291,Nifedipine 60 MG Extended Release Oral Tablet [Nidef] Box of 28,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41310628,Nifedipine 40 MG Extended Release Oral Tablet [Dignokonstant],Branded Drug,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41258890,Nifedipine 20 MG Extended Release Oral Tablet [Nifecor] Box of 100 by Betapharm,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41248613,Nifedipine 20 MG Extended Release Oral Tablet [Adalat] Box of 2000,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41217569,Nifedipine 20 MG Extended Release Oral Tablet [Nifedipin Ksk] Box of 100,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41196988,Nifedipine 40 MG Extended Release Oral Tablet [Corinfar] Box of 20 by TEVA,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41155134,Nifedipine 10 MG Oral Capsule [Nifehexal] Box of 30,Branded Drug Box,RxNorm Extension,Oral Capsule
nifedipine,41134373,Nifedipine 20 MG Extended Release Oral Tablet [Nifedipin Al] Box of 98 by Aliud,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,40977781,Nifedipine 40 MG Extended Release Oral Tablet [Nife Wolff] Box of 50 by Wolff Bielefeld,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,40936234,Nifedipine 20 MG Extended Release Oral Tablet [Nifelat] Box of 100,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41310645,Nifedipine 10 MG Oral Capsule [Corotrend] Box of 500,Branded Drug Box,RxNorm Extension,Oral Capsule
nifedipine,41289974,Nifedipine 10 MG Oral Capsule [Nifedipin Verla] Box of 30 by Verla,Marketed Product,RxNorm Extension,Oral Capsule
nifedipine,21113698,Nifedipine 20 MG Extended Release Oral Tablet [Valni] Box of 56,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,21054773,Nifedipine 10 MG Extended Release Oral Tablet [Hypolar] Box of 56,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,21113692,Nifedipine Extended Release Oral Tablet [Adanif XL],Branded Drug Form,RxNorm Extension,Extended Release Oral Tablet
nifedipine,21093979,Nifedipine 60 MG Extended Release Oral Tablet [Valni] Box of 28 by Zentiva,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,21084237,Nifedipine 30 MG Extended Release Oral Tablet [Valni] Box of 28,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,40823676,Nifedipine 40 MG Extended Release Oral Tablet [Nifedipin Stada] Box of 100,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,40915462,Nifedipine 10 MG Oral Capsule Box of 30 by GDS,Marketed Product,RxNorm Extension,Oral Capsule
nifedipine,41155137,Nifedipine 10 MG Oral Capsule [Nifeclair] Box of 20,Branded Drug Box,RxNorm Extension,Oral Capsule
nifedipine,43845129,30 ML Nifedipine 20 MG/ML Oral Solution [Nifedipin-ratiopharm] Box of 30 by Ratiopharm,Marketed Product,RxNorm Extension,Oral Solution
nifedipine,40967360,Nifedipine 20 MG/ML Oral Solution [Aprical] Box of 10,Branded Drug Box,RxNorm Extension,Oral Solution
nifedipine,41279326,Nifedipine 40 MG Oral Tablet [Dignokonstant] Box of 100,Branded Drug Box,RxNorm Extension,Oral Tablet
nifedipine,43845127,30 ML Nifedipine 20 MG/ML Oral Solution [Nife-Ct] Box of 30,Quant Branded Box,RxNorm Extension,Oral Solution
nifedipine,41385193,30 ML Nifedipine 0.667 MG/ML Oral Solution [Aprical] Box of 2 by Medice,Marketed Product,RxNorm Extension,Oral Solution
nifedipine,40977817,Nifedipine 20 MG Oral Tablet [Nifehexal] Box of 50 by Novartis,Marketed Product,RxNorm Extension,Oral Tablet
nifedipine,41029712,Nifedipine 60 MG Oral Tablet [Nifehexal] Box of 100,Branded Drug Box,RxNorm Extension,Oral Tablet
labetalol,21146293,1 ML Labetalol 10 MG/ML Oral Solution,Quant Clinical Drug,RxNorm Extension,Oral Solution
nifedipine,40904957,Nifedipine 20 MG Oral Tablet [Nife-Ct] Box of 50,Branded Drug Box,RxNorm Extension,Oral Tablet
labetalol,21036627,Labetalol 200 MG Oral Tablet Box of 250,Clinical Drug Box,RxNorm Extension,Oral Tablet
nifedipine,40915489,Nifedipine 20 MG Oral Tablet [Cordicant] Box of 100 by Mundipharma,Marketed Product,RxNorm Extension,Oral Tablet
nifedipine,41321283,Nifedipine 20 MG Extended Release Oral Tablet [Pidilat] Box of 20 by Mylan,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41092505,Nifedipine 20 MG Extended Release Oral Tablet [Adalat] Box of 100,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,40853315,Nifedipine 20 MG Extended Release Oral Tablet [Adalat] Box of 30 by Kohlpharma,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,35161701,Nifedipine 5 MG Extended Release Oral Capsule [Emaberin],Branded Drug,RxNorm Extension,Extended Release Oral Capsule
nifedipine,43173760,Nifedipine Extended Release Oral Tablet [NIFEDIPINE EG],Branded Drug Form,RxNorm Extension,Extended Release Oral Tablet
nifedipine,35157107,Nifedipine 10 MG Extended Release Oral Capsule [Emaberin],Branded Drug,RxNorm Extension,Extended Release Oral Capsule
nifedipine,40904947,Nifedipine 20 MG Extended Release Oral Tablet [Pidilat] Box of 100,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,40884534,Nifedipine 20 MG Extended Release Oral Tablet [Nifedipin Verla] Box of 20 by Verla,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41071558,Nifedipine 20 MG Extended Release Oral Capsule [Nifedipin Stada] Box of 500 by Stada,Marketed Product,RxNorm Extension,Extended Release Oral Capsule
nifedipine,35133721,Nifedipine 20 MG Extended Release Oral Tablet [Ramitalate],Branded Drug,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41155167,Nifedipine 20 MG Extended Release Oral Tablet [Nifedipin Ksk] Box of 20,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41092457,Nifedipine 10 MG Extended Release Oral Tablet [Nifecor] Box of 20,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,21035109,Nifedipine 30 MG Extended Release Oral Tablet [Hypolar],Branded Drug,RxNorm Extension,Extended Release Oral Tablet
nifedipine,21035108,Nifedipine 30 MG Extended Release Oral Tablet [Neozipine XL] Box of 28,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41186250,Nifedipine 20 MG Extended Release Oral Tablet [Nifedipin Pb],Branded Drug,RxNorm Extension,Extended Release Oral Tablet
nifedipine,40842826,Nifedipine 20 MG Extended Release Oral Tablet [Nife 1a Pharma],Branded Drug,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41321290,Nifedipine 20 MG Extended Release Oral Tablet [Nifecor] Box of 100 by 3M,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41060899,Nifedipine 30 MG Extended Release Oral Tablet [Nife-Ct],Branded Drug,RxNorm Extension,Extended Release Oral Tablet
